proveedor ,dependencia ,numero de expediente,hechos de irregularidad,objeto social ,sentido de resolucion,fecha de notificacion ,fecha de resolucion ,plazo ,monto ,nombre responsable de la informacion ,fecha de actualizacion ,
3R INNOVACIîN Y DISE„O  S.A. DE  C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0041/2013","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO.","	3RINNOVACION@LIVE.COM.MX.","	SANCIONATORIA CON MULTA","	19/08/2014","	06/08/2014","	","	90664.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
MECHOSO CONSTRUCCIONES S.A. DE C.V.,"	SERVICIO POSTAL MEXICANO","	0001/2006","	MANIFESTAR ENCONTRARSE AL CORRIENTE DEL CUMPLIMIENTO DE SUS OBLIGACIONES FISCALES","	REUBICACION Y CONSTRUCCION","	SANCIONATORIA CON MULTA E INHABILITACIîN","	11/07/2007","	29/06/2007","	3 MESES","	70200.00","	ROBERTO JOSE LUIS SANTELIZ ALVAREZ","	06/12/2018 08:12",
MEDFUSION  S. DE R.L. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0059/2016","	LA EMPRESA PROPORCIONî INFORMACIîN FALSA","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	11/05/2018","	27/04/2018","	1 A„O","	113212.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
MEDI CORE  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0035/2015","	LA EMPRESA PROPORCIONî INFORMACIîN FALSA AL HABER EXHIBIDO TRES CONTRATOS CON INFORMACIîN NO VERAZ","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	29/11/2017","	24/11/2017","	1 A„O 6 MESES","	605610.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
MEDIA DIRECTA  S.A. DE C.V.,"	CONSEJO DE PROMOCIîN TURISTICA DE MEXICO S.A. DE C.V.","	0047/2007","	PROPORCIONO INFORMACION FALSA Y ACTUO CON DOLO EN LA LICITACION PUBLICA INTERNACIONAL NO. 21355001-009-06  TODA VEZ DE QUE PARA ACREDITAR EL REQUISITO NUMERO 1.4. DE  BASES DE LICITACION EXHIBIO DIVERSOS CONTRATOS (3) CON LA EMPRESA AEROLINEAS ARGENTINAS LOS CUALES FUERON DESCONOCIDOS  EN VIRTUD DE QUE EL GERENTE GENERAL DE LA AEROLINEA DESCONOCIO TOTALMENTE LA EXISTENCIA DE LOS CONTRATOS  ADEMAS PRECISO QUE EL C. OSVALDO A. FERRARO PERSONA QUE SUSCRIBIO LOS MISMOS CARECIA DE FACULTADES PARA FIRMAR DOCUMENTOS COMO LOS MULTICITADOS CONTRATOS  SE„ALANDO ADEMAS QUE LOS MONTOS ESTABLECIDOS CARECEN DE SERIEDAD.","	PRESTAR Y COMERCIALIZAR SERVICIOS MULTIDISCIPLINARIOS DE TODO TIPO PARA LA REALIZACION DE ESTUDIOS Y PROYECTOS MULTISECTORIALES EN MATERIA DE PUBLICIDAD  CONTRATACION DE MEDIOS  DISE„O GRAFICO E INDUSTRIAL  AUDIOVISUALES Y EXPOSICIONE  ASI COMO CONSULTORIA Y ASESORIA EN COMUNICACION  MERCADOTECNIA  ESTUDIOS DE MERCADO  PROMOCION  COMERCIALIZACION Y VENTA  DIFUSION  IMAGEN Y CUALESQUIERA OTRAS AREAS RELACIONADAS CON LA PUBLICIDAD.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	28/08/2007","	23/08/2007","	3 A„OS 3 MESES","	963666.00","	JORGE PORFIRIO CASANOVA IBç„EZ","	06/12/2018 08:12",
MEDIACCESS  SEGUROS DE SALUD S.A. DE C.V.,"	BANCO NACIONAL DE OBRAS Y SERVICIOS PòBLICOS  S.N.C.","	0001/2016","	PRESENTî UNA CARTA SUSCRITA POR EL DR. JUAN MANUEL MIRANDA FLORES COMO GERENTE DE SERVICIO MƒDICO DE PRONîSTICOS PARA LA ASISTENCIA TƒCNICA  DEL 31 DE ENERO DE 2016  SIN EMBARGO  DICHA PERSONA YA NO FUNGêA CON TAL CARçCTER EN DICHA INSTITUCIîN PUESTO QUE CAUSî BAJA EL 1 DE ENERO DE 2016","	ACTUAR COMO INSTITUCIîN DE SEGUROS  PRESTACIîN DE TODO TIPî DE SERVICIOS DE SALUD EN FORMA INTEGRAL  CELEBRAR TODAS AQUELLAS OPERACIONES DE CARçCTER CIVIL O MERCANTIL","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/05/2018","	22/05/2018","	1 A„O 6 MESES","	1095600.00","	LETICIA  GALICIA  SçNCHEZ","	06/12/2018 08:12",
MEDIAFUSIîN S.A. DE C.V.,"	BANCO NACIONAL DE OBRAS Y SERVICIOS PòBLICOS  S.N.C.","	0020/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	ENTRE OTROS  PRODUCCIîN DE SPOTS PUBLICITARIOS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	26/03/2007","	21/03/2007","	3 MESES","	73005.00","	LETICIA  GALICIA  SçNCHEZ","	06/12/2018 08:12",
MEDICA SUR  S.A. DE C.V.,"	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","	0003/2015","	NO SE PRESENTO PARA FIRMAR EL CONTRATO RESPECTIVO DE LA LICITACIîN LA-019GYN028-N5-2015","	PRESTAR TODO TIPO DE SERVICIOS DE SALUD.","	SANCIONATORIA CON MULTA","	16/02/2016","	02/02/2016","	","	210300.00","	JUANA PADILLA TAPIA","	06/12/2018 08:12",
MEDICAL FUTURE  S.A DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0645/2009","	48  FRACCIîN II  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>OMITIî EXHIBIR LA GARANTêA DE CUMPLIMIENTO DEL CONTRATO S.F.D.G.A. 348/2008  QUE LE FUE ADJUDICADO POR LA SECRETARêA DE FINANZAS DEL GOBIERNO DEL ESTADO DE NAYARIT  A TRAVƒS DE LA ADJUDICACIîN DIRECTA 020/2008  PARA LA ADQUISICIîN DE EQUIPO DE MECANOTERAPIA Y EQUIPAMIENTO PARA CçMARA DE SNOEZELEN.","	LA REALIZACION DE TODA CLASE DE OPERACIONES COMERCIALES  DISTRIBUCIîN DE IMPORTACIîN EXPORTACION DE TODA CLASE DE ARTêCULOS MEDICOS  APARATOS Y ACCESORIOS DE REHABILITACIîN.","	SANCIONATORIA CON MULTA","	11/06/2010","	31/05/2010","	","	78885.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
MEDICEL  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0009/2017","	LA EMPRESA PROPORCIONî INFORMACIîN NO VERAZ","	ES LA DIRECCION DEL DESPACHO  YA QUE DE LOS DOMICILIOS QUE SE TENIAN NINGUNO ERA","	SANCIONATORIA CON MULTA E INHABILITACIîN","	27/09/2018","	24/09/2018","	1 A„O","	452848.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
MEDIOS PRODUCCION DE COMUNICACION S.A. DE C.V.,"	FONDO DE GARANTIA Y FOMENTO PARA LA AGRICULTURA  GANADERIA Y AVICULTURA","	0003/2012","	EL CONTRATO NO FUE SUSCRITO POR CAUSAS PRESUNTAMENTE IMPUTALBES AL LICITANTE ADJUDICADO TODA VEZ QUE EL 19 DE JULIO DD 2012 ENTREGO IMPRESION DE LA OPINION DEL CUMPLIMIENTO DE OBLIGACIONES FISCALES DEL SAT DE FECHA 16 DE JULIO DE 2012 EN AL QUE SE INDICA QUE SU SITUACION FISCAL NO SE ENCEUNTRA AL CORRIENTE EN EL CUMPLIMIENTO DE OBLIGACIONES VENCIENDO SU PLAZO PARA FIRMAR CONTRATO.","	CAPACITACION.","	SANCIONATORIA CON MULTA","	09/11/2012","	09/11/2012","	","	96611.50","	ISRAEL MARTINEZ LOMELI","	06/12/2018 08:12",
MEDISYN  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0014/2010","	LA EMPRESA INCUMPLIO CON LA ENTREGA DE LA GARANTIA DEL CONTRATO NO. D90167.","	PRODUCTOS MEDICOS DESECHABLES Y EXTRUCCIONES PLASTICAS DE PRESICION","	SANCIONATORIA CON MULTA","	27/10/2011","	13/10/2011","	","	89063.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
MENSAJERêA ESPECIALIZADA PARA EMPRESAS  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0017/2004","	60  FRACCIîN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>PROPORCIONî INFORMACIîN FALSA DURANTE LA CELEBRACIîN DEL CONTRATO NòMERO RAN/DGFA/DRHM/024/2001  DERIVADO DE LA INVITACIîN RESTRINGIDA NòMERO RAN/IR/002/2001  PARA LA PRESTACIîN DE SERVICIOS DE MENSAJERêA  TODA VEZ QUE DECLARî ESTAR AL CORRIENTE EN EL PAGO DE SUS OBLIGACIONES FISCALES  LO QUE NO CONCUERDA CON LA REALIDAD  TODA VEZ QUE TENêA ADEUDOS PENDIENTES SEGòN LO MANIFESTADO POR LA ADMINISTRACIîN LOCAL DE RECAUDACIîN DE CANCòN  QUINTANA ROO.","	PRESTAR SERVICOS DE MENSAJERêA","	SANCIONATORIA CON MULTA E INHABILITACIîN","	27/01/2005","	13/01/2005","	3 MESES","	60525.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
MERQUIND  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0055/2015","	NO FORMALIZACIîN DEL CONTRATO QUE LE FUE ADJUDICADO.","	","	SANCIONATORIA CON MULTA","	24/05/2016","	23/05/2016","	","	21731.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
META DATA  S.A. DE C.V.,"	AEROPUERTOS Y SERVICIOS AUXILIARES","	0018/2003","	NO ESTAR AL CORRIENTE EN SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	11/10/2005","	30/09/2005","	3 MESES","	62542.50","	MIGUEL ANGEL MACEDO VELAZQUEZ","	06/12/2018 08:12",
META DATA  S.A. DE C.V.,"	AEROPUERTOS Y SERVICIOS AUXILIARES","	0037/2003","	NO ESTAR AL CORRIENTE EN SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	11/10/2005","	30/09/2005","	3 MESES","	62542.50","	MIGUEL ANGEL MACEDO VELAZQUEZ","	06/12/2018 08:12",
METRATON INDUSTRIAL  S.A. DE C.V.,"	PEMEX GAS Y PETROQUIMICA BASICA","	0011/2009","	PRESENTî FACTURAS APOCRIFAS EN EL PROCEDIMIENTO DE CONTRATACIîN","	FABRICACIîN DE MAQUINARIA Y EQUIPO PARA OTRAS INDUSTRIAS MANUFACTURERAS","	SANCIONATORIA CON MULTA E INHABILITACIîN","	19/10/2009","	09/10/2009","	1 A„O","	303420.00","	","	06/12/2018 08:12",
MEXCOLURS INTERNACIONAL  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0134/2008","	PRESENTî INFORMACIîN FALSA EN EL ANEXO AT5  CORRESPONDIENTE AL: CURRêCULUM DE CADA UNO DE LOS PROFESIONALES TƒCNICOS DE LA EMPRESA PARTICIPANTE EN LA LICITACIîN QUE SERçN RESPONSABLES DE LA DIRECCIîN  ADMINISTRACIîN Y EJECUCIîN DE LAS OBRAS.","	CONSTRUCCIONES CIVILES Y ELECTROMECçNICAS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	22/01/2009","	20/01/2009","	3 MESES","	81514.50","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
MEXICANA DE CONSTRUCCIONES ORMES  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0033/2012","	LA EMPRESA AL PARTICIPAR  EN DIVERSOS EVENTOS DE CONTRATACIîN  EXHIBIO ACTA CONSTITUTIVA  SIN EMBARGO SE ADVIRTIî QUE NO EXISTêA REGISTRO  POR LO QUE SE LE ATRIBUYî QUE LA PERSONA MORAL PRESUNTAMENTE HABêA PROPORCIONADO INFORMACIîN FALSA.","	SERVICIOS DE GESTORIA PARA LIBERAR DERECHOS DE VêA DE LêNEAS  DE TRAANSMISIîN ELƒCTRICA  ETC.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	10/03/2014","	10/03/2014","	3 MESES","	82200.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
MEXICANA DE CONSTRUCCIONES ORMES  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0038/2012","	PROPORCIONî INFORMACIîN FALSA AL PRESENTAR ACTA CONSTITUTIVA DE LA EMPRESA  SIN QUE SE ENCUENTRE DEBIDAMENTE REGISTRADA.","	SERVICIOS DE GESTORêA PARA LIBERAR DERECHOS DE VêA DE LêNEAS DE TRANSMISIîN ELƒCTRICA  CAMINOS Y CARRETERAS LOCALES Y FEDERALES  GASODUCTOS  ACUEDUCTOS Y DEMçS INSTALACIONES QUE REQUIERAN SERVICIOS DE GESTORêA EN ACTIVIDADES PREVIAS A SU CONSTRUCCIîN   INSTALACIîN Y DESARROLLO.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	11/03/2014","	11/03/2014","	3 MESES","	81514.50","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
MEXICANA DIGITAL DE IMPRESIîN  S.A DE C.V.,"	NACIONAL FINANCIERA  S.N.C.","	0005/2007","	ACTUO CON DOLO Y MALA FE DURANTE LA VIGENCIA DE LOS CONTRATOS DE PRESTACION DE SERVICIOS 167/03 Y 0020 Y DE SUS CORRESPONDIENTES CONVENIOS MODIFICATORIOS CUYO OBJETO FUE EL DE PROPORCIONAR A NAFIN LOS SERVICIOS DE IMPRESIîN Y ENTREGA DE REPORTES DE COMPUTO CENTRAL; LO ANTERIOR TODA VEZ QUE LAS CANTIDADES DE IMAGENES IMPRESAS REPORTADAS EN LOS FORMATOS DE CONTROL DE RESULTADOS ENTREGADOS POR EL PROVEEDOR AL AREA DE PRODUCCIîN CENTRAL  SON MAYORES AL NUMERO DE IMAGENES QUE ARROJO LA BASE DE DATOS DEL SISTEMA EN PRODUCCIîN SIF.","	IMPRESIîN Y ENCUADERNACIîN DE DO UMENTOS","	SANCIONATORIA CON MULTA E INHABILITACIîN","	24/03/2008","	14/03/2008","	4 A„OS 11 MESES","	1401800.40","	ELSA MARêA ELENA LOZA ORTêZ","	06/12/2018 08:12",
MEXLICITA  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0046/2010","	48  FRACCIîN II  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>OMITIî EXHIBIR LA GARANTêA DE CUMPLIMIENTO DEL PEDIDO NòMERO SSP-PF/PDNA/007/2009  PARA LA ADQUISICIîN CONSOLIDADA DE MATERIALES  PAPELERêA Y òTILES DE OFICINA PARA LA SECRETARêA DE SEGURIDAD PòBLICA Y SUS îRGANOS DESCONCENTRADOS: POLICêA FEDERAL  PREVENCIîN Y READAPTACIîN SOCIAL  SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PòBLICA Y SERVICIO DE PROTECCIîN FEDERAL;  SUSCRITO EL 25 DE NOVIEMBRE DE 2009  CON LA SECRETARêA DE SEGURIDAD PòBLICA.","	ADQUISICIîN CONSOLIDADA DE MATERIALES  PAPELERêA  Y òTILES DE OFICINA PARA LA SECRETARêA DE SEGURIDAD PòBLICA Y SUS îRGANOS ADMINISTRATIVOS DESCONCENTRADOS: POLICêA FEDERAL  PREVENCIîN Y READAPTACIîN SOCIAL  SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PòBLICA Y SERVICIO DE PROTECCIîN FEDERAL.","	SANCIONATORIA CON MULTA","	06/10/2010","	24/09/2010","	","	82200.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
MF INTEGRAL SERVICES  S.A. DE C.V.,"	PEMEX EXPLORACIîN Y PRODUCCION","	0005/2012","	HABER PROPORCIONADO INFORMACION FALSA DURANTE LA CONCILIACION","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	12/11/2013","	31/10/2013","	6 MESES","	185442.00","	","	06/12/2018 08:12",
MICROACCESS INTERNATIONAL DE MƒXICO  S.A DE C.V.,"	CENTRO DE INVESTIGACIîN Y SEGURIDAD NACIONAL","	0014/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	DISTRIBUCIîN DE EQUIPO DE COMPUTO  REDES Y TELECOMUNICACIONES.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/04/2007","	20/03/2007","	3 MESES","	72540.00","	SILVIA LOPEZ PARRA","	06/12/2018 08:12",
MICROACCESS INTERNATIONAL DE MƒXICO  S.A DE C.V.,"	CENTRO DE INVESTIGACIîN Y SEGURIDAD NACIONAL","	0015/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	DISTRIBUCIîN DE EQUIPO DE COMPUTO  REDES Y TELECOMUNICACIONES.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/04/2007","	21/03/2007","	3 MESES","	72540.00","	SILVIA LOPEZ PARRA","	06/12/2018 08:12",
MICROZONE  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0009/2014","	ART. 60  FRACCIîN IV DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO <br>PROPORCIONî INFORMACIîN FALSA DURANTE EL PROCEDIMIENTO DE CONTRATACIîN DE LA LICITACIîN PòBLICA INTERNACIONAL 511005001-002-13","	COMPRA  VENTA  RENTA  IMPORTACIîN Y EXPORTACIîN  DISTRIBUCIîN  FABRICACIîN  REPRESENTACIîN  REPARACIîN Y COMERCIALIZACIîN DE TODO TIPO DE EQUIPO DE CîMPUTO  PROGRAMAS COMPUTACIONALES  TELECOMUNICACIONES  CONSUMIBLES  ASê COMO DESARROLLO DE SISTEMAS  SOPORTE TƒCNICO Y MANTENIMIENTO DE EQUIPOS DE CîMPUTO  PROVEEDORES DE CONSULTORêA EN EL çREA DE SISTEMAS Y TODO TIPO DE SERVICIOS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	28/07/2015","	22/07/2015","	1 A„O 6 MESES","	582840.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
MIGUEL ANGEL CORNEJO EDITORES  S.A. DE C.V.,"	BANCO NACIONAL DEL EJERCITO  FUERZA AEREA Y ARMADA  S.N.C.","	0001/2008","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	EDICION  IMPRESION Y DISTRIBUCION DE OBRAS LITERARIAS","	SANCIONATORIA CON MULTA E INHABILITACIîN","	30/04/2008","	29/04/2008","	5 MESES","	18205.20","	ENRIQUE RODRIGUEZ VAZQUEZ","	06/12/2018 08:12",
MIGUEL ANGEL RIVERA BARRIOS,"	ESTUDIOS CHURUBUSCO AZTECA  S.A.","	0001/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	PROVEEDOR PROPORCIONO ASESORêA","	SANCIONATORIA CON MULTA E INHABILITACIîN","	14/03/2007","	01/03/2007","	3 MESES","	72540.00","	MARTHA AZUCENA GAMA  DE LA CRUZ","	06/12/2018 08:12",
MIGUEL DIMAS HERNçNDEZ,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0008/2010","	EL PROVEEDOR NO ENTREGO LA PîLIZA DE FIANZA DEL CONTRATO NO. C90065","	","	SANCIONATORIA CON MULTA","	15/12/2011","	01/12/2011","	","	81514.50","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
MIGUEL HERNçNDEZ VELAZQUEZ,"	INSTITUTO DE INVESTIGACIONES ELECTRICAS","	0032/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	15/12/2006","	11/12/2006","	3 MESES","	73005.00","	CUAUHTƒMOC POPOCA MOCTEZUMA","	06/12/2018 08:12",
MIGUEL ROSAS RODRIGUEZ,"	COMISION NACIONAL DEL AGUA","	0021/2006","	CON ESCRITO DE 10 DE4 MAYO DE 2006  SOLICITO EL PROVEEDOR A LA GERENCIA SE LE AUTORIZARA OTORGAR OTRO TIPO DE FIANZA  POR ELLO ES QUE NO FORMALIZO EL CONTRATO","	PERSONA FISICA CON ACTIVIDAD EMPRESARIAL  COMERCIO COMPRA-VENTA  CONSIGNACION  REPRESENTACION  FABRICACION  REPARACION  COMISION DE PRODUCTOS PARA LA FABRICA  EL COMERCIO  HOSPITALES  LABORATORIOS Y TODA INDOLE EN GENERAL. NOMBRE COMERCIAL COMERCIALIZADORA ROSAS","	SANCIONATORIA CON MULTA E INHABILITACIîN","	15/09/2006","	06/09/2006","	3 MESES","	75438.50","	LIC. MIGUEL ANGEL LARA GARCIA","	06/12/2018 08:12",
MIHER LIMPIEZA  S.A DE C.V.,"	SECRETARIA DE ENERGIA","	0015/2006","	SE DETERMINO INFORMACIîN FALSA DE LA EMPRESA MIHER LIMPIEZA  S. A DE C.V.  EN EL ACTO DE APERTURA DE OFERTAS DEL PROCEDIMIENTO DE INVITACIîN A CUANDO MENOS TRES PERSONAS NòMERO SE-I3P-06-2006  AL PRESENTAR EL ESCRITO BAJO PROTESTA DE DECIR VERDAD QUE POR SU CONDUCTO NO PARTICIPABAN PERSONAS INHABILITADAS POR RESOLUCIîN DE LA SECRETARêA DE LA FUNCIîN PòBLICAONDIENTE  SIENDO QUE EL REPRESENTANTE LEGAL DE LA EMPRESA CITADA ES ACCIONISTA DE LA EMPRESA REMMSA LIMPIEZA Y MANTENIMIENTO MISMA QUE ANTERIORMENTE YA HABêA SIDO SANCIONADA POR ESTE îRGANO INTERNO DE CONTROL.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	04/12/2006","	16/11/2006","	3 MESES","	75438.50","	JORGE GARCIA LEîN","	06/12/2018 08:12",
MINERALES SIERRA GORDA  S.A. DE C.V.,"	SERVICIO GEOLOGICO MEXICANO","	0020/2005","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	MINERIA","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/04/2006","	22/03/2006","	3 MESES","	72540.00","	SALVADOR FRONTANA REYES","	06/12/2018 08:12",
MIRTA LILIA ALONSO DEL ANGEL,"	FONDO DE GARANTIA Y FOMENTO PARA LA AGRICULTURA  GANADERIA Y AVICULTURA","	0085/2004","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	PRESTAR SERVICIOS DE LIMPIEZA PARA LAS OFICINAS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/09/2006","	11/09/2006","	3 MESES","	70122.00","	ISRAEL MARTINEZ LOMELI","	06/12/2018 08:12",
MOBILIARIO MƒDICO Y ADMINISTRATIVO DEL CENTRO S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0646/2009","	60  FRACCIîN IV DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>PROPORCIONî INFORMACIîN FALSA Y ACTUî CON DOLO EN LA LICITACIîN PòBLICA NACIONAL NòMERO 53102001-007-09  CONVOCADA POR SERVICIOS DE SALUD DE SAN LUIS POTOSê  AL PRESENTAR EN SU PROPUESTA TƒCNICA ESCRITO  EN EL QUE MANIFESTî BAJO PROTESTA DE DECIR VERDAD  QUE EL ACERO QUE SUMINISTRARêA CONTENDRêA LA CERTIFICACIîN DE CALIDAD ANSI/BIFMA X 5.4-2005  EXHIBIENDO EL CERTIFICADO  PROYECTO INTERTEK 5183279GEC-007; HACIENDO CREER A LA CONVOCANTE QUE CON ELLO SATISFACêA LO REQUERIDO EN LA CONVOCATORIA CORRESPONDIENTE  RESPECTO DE LA CARTA DE CUMPLIMIENTO DE CERTIFICACIîN DE CALIDAD; SIENDO QUE LA EMPRESA CERTIFICADORA INTERTEK  NO RECONOCIî EL CERTIFICADO PRESENTADO POR LA MORAL.","	ADQUISICIîN DE MOBILIARIO ADMINISTRATIVO.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	29/11/2010","	25/11/2010","	6 MESES","	164400.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
MONARCH MANUFACTURING  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0076/2016","	LA EMPRESA PROPORCIONî INFORMACIîN QUE NO ATENDIA A LA REALIDAD","	LA FABRICACIîN DE PRODUCTOS DE LIMPIEZA  EN GENERAL PARA EL HOGAR Y CUALQUIER TIPO DE INDUSTRIA  PRODUCTOS DE LAVANDERIA  PRODUCTOS COSMƒTICOS Y DE ASEO PERSONAL  PRODUCTOS HIGIƒNICOS  INCLUYENDO DESINFECTANTES Y GERMICIDAS  ASê COMO TODA ACTIVIDAD RELACIONADA CON LA INDUSTRIA DE LA LIMPIEZA COSMƒTICA.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/04/2018","	13/04/2018","	1 A„O 6 MESES","	679272.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
MîNICA GARCIA PI„A,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0006/2011","	ACTUO CON DOLO AL HABER EXHIBIDO DOCUMENTACION FALSA ANTE EL AREA DE RESPONSABILIDADES DEL OIC DEL IMSS.  <br>CONTRATOS NO. D70061 Y D70081.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	06/05/2011","	25/04/2011","	2 A„OS 6 MESES","	89063.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
MONTACARGAS EN RENTA  S.A. DE C.V.,"	COMISION NACIONAL DE LIBROS DE TEXTO GRATUITO","	0055/2007","	EL INVITADO DECLARO CON FALSEDAD  EN SU ESCRITO BAJO PROTESTA DE DECIR VERDAD NO NCONTRARSE EN EL SUPUESTO CONTEMPLADO EN EL ARTICULO 31 FRACCIîN XXIV DE LA LEY DE ADQUISICIONES ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PUBLICO ","	ENTRE OTROS LA COMPRA  VENTA Y SERVICIO DE MONTACARGAS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	08/05/2008","	08/05/2008","	3 MESES","	75855.00","	ARTURO   TORRES  SANCHEZ","	06/12/2018 08:12",
MONTACARGAS Y ELECTROSISTEMAS  S.A. DE C.V.,"	DICONSA","	0005/2017","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	16/11/2017","	02/11/2017","	3 MESES","	120060.00","	ROGELIO ELIZALDE MENCHACA","	06/12/2018 08:12",
